row_id,col_id,row_span,col_span,is_header,text
0,0,2,1,true,Method
0,2,2,1,true,Dataset
0,5,7,3,true,Evaluation score (%)
0,7,2,1,true,Notes
1,4,1,1,true,Accuracy
1,6,1,1,true,F1
2,0,1,1,false,GraphNet
2,2,1,2,false,PubMed QA
2,4,1,1,false,91.2
2,6,1,1,false,88.6
2,7,1,1,false,best
3,0,4,1,false,TreeCRF
3,2,4,2,false,PubMed QA
3,4,2,1,false,89.5
3,6,2,1,false,86.9
3,7,1,1,false,baseline
4,3,3,5,false,GraphNet ChemTable 84.7 81.3
4,7,1,1,false,cross-domain
5,1,1,3,false,TableFormer ChemTable
5,4,1,1,false,87.8
5,6,1,1,false,84.2
5,7,1,1,false,best
6,1,1,3,false,Rule Parser ChemTable
6,4,1,1,false,71.0
6,6,1,1,false,68.4
6,7,1,1,false,weak baseline
