row_id,col_id,row_span,col_span,is_header,text
0,0,1,1,true,Method Dataset
0,1,1,1,true,Evaluation
0,2,1,1,true,score (%)
0,3,1,1,true,Notes
1,1,1,1,true,Accuracy
1,2,1,1,true,F1
2,0,1,1,false,GraphNet PubMed QA
2,1,1,1,false,91.2
2,2,1,1,false,88.6
2,3,1,1,false,best
3,0,1,1,false,TreeCRF PubMed QA
3,1,1,1,false,89.5
3,2,1,1,false,86.9
3,3,1,1,false,baseline
4,0,1,1,false,GraphNet ChemTable
4,1,1,1,false,84.7
4,2,1,1,false,81.3
4,3,1,1,false,cross-domain
5,0,1,1,false,TableFormer ChemTable
5,1,1,1,false,87.8
5,2,1,1,false,84.2
5,3,1,1,false,best
6,0,1,1,false,Rule Parser ChemTable
6,1,1,1,false,71.0
6,2,1,1,false,68.4
6,3,1,1,false,weak baseline
