row_id,col_id,row_span,col_span,is_header,text
0,0,1,4,1,Method
0,8,1,2,1,Dataset
0,13,1,5,1,Evaluation
0,18,1,3,1,score
0,21,1,3,1,(%)
0,24,1,5,1,Notes
1,14,1,4,0,Accuracy
1,19,1,3,0,F1
2,0,1,6,0,GraphNet
2,8,1,2,0,PubMed
2,10,1,3,0,QA
2,15,1,2,0,91.2
2,19,1,4,0,88.6
2,24,1,2,0,best
3,0,1,5,0,TreeCRF
3,8,1,2,0,PubMed
3,10,1,3,0,QA
3,15,1,2,0,89.5
3,19,1,4,0,86.9
3,24,1,6,0,baseline
4,0,1,6,0,GraphNet
4,8,1,4,0,ChemTable
4,15,1,2,0,84.7
4,19,1,4,0,81.3
4,24,1,7,0,cross-domain
5,0,1,7,0,TableFormer
5,8,1,4,0,ChemTable
5,15,1,2,0,87.8
5,19,1,4,0,84.2
5,24,1,2,0,best
6,0,1,2,0,Rule
6,2,1,6,0,Parser
6,8,1,4,0,ChemTable
6,15,1,2,0,71.0
6,19,1,4,0,68.4
6,24,1,3,0,weak
6,27,1,4,0,baseline
