row_id,col_id,row_span,col_span,is_header,text
0,1,1,1,True,Method
0,4,1,1,True,Dataset
0,7,1,1,True,Evaluation
0,8,1,1,True,score
0,11,1,1,True,(%)
0,12,1,1,True,Notes
1,7,1,1,True,Accuracy
1,9,1,1,True,F1
2,1,1,1,False,GraphNet
2,4,1,1,False,PubMed
2,6,1,1,False,QA
2,7,1,1,False,91.2
2,10,1,1,False,88.6
2,12,1,1,False,best
3,1,1,1,False,TreeCRF
3,4,1,1,False,PubMed
3,6,1,1,False,QA
3,7,1,1,False,89.5
3,10,1,1,False,86.9
3,13,1,1,False,baseline
4,1,1,1,False,GraphNet
4,5,1,1,False,ChemTable
4,7,1,1,False,84.7
4,10,1,1,False,81.3
4,14,1,1,False,cross-domain
5,2,1,1,False,TableFormer
5,5,1,1,False,ChemTable
5,7,1,1,False,87.8
5,10,1,1,False,84.2
5,12,1,1,False,best
6,0,1,1,False,Rule baseline
6,3,1,1,False,Parser
6,5,1,1,False,ChemTable
6,7,1,1,False,71.0
6,10,1,1,False,68.4
6,12,1,1,False,weak
