row_id,col_id,row_span,col_span,is_header,text
0,1,1,1,1,Method
0,7,1,1,1,Dataset
0,15,1,1,1,Evaluation
0,22,1,1,1,score
0,29,1,1,1,(%)
0,33,1,1,1,Notes
1,16,1,1,0,Accuracy
1,23,1,1,0,F1
2,3,1,1,0,GraphNet
2,8,1,1,0,PubMed
2,13,1,1,0,QA
2,16,1,1,0,91.2
2,24,1,1,0,88.6
2,30,1,1,0,best
3,2,1,1,0,TreeCRF
3,8,1,1,0,PubMed
3,13,1,1,0,QA
3,16,1,1,0,89.5
3,24,1,1,0,86.9
3,34,1,1,0,baseline
4,3,1,1,0,GraphNet
4,10,1,1,0,ChemTable
4,16,1,1,0,84.7
4,24,1,1,0,81.3
4,35,1,1,0,cross-domain
5,5,1,1,0,TableFormer
5,10,1,1,0,ChemTable
5,16,1,1,0,87.8
5,24,1,1,0,84.2
5,30,1,1,0,best
6,0,1,1,0,Rule
6,6,1,1,0,Parser
6,10,1,1,0,ChemTable
6,16,1,1,0,71.0
6,24,1,1,0,68.4
6,32,1,1,0,weak
6,36,1,1,0,baseline
